Название,Кр. описание,Описание,Адрес,Шир.,Долг.,ID на старом сайте
Участки сосновых лесов у города Кулебаки, Участки сосновых лесов у города Кулебаки," Организован: постановлением Законодательного собрания Нижегородской области от 29 ноября 1994 года № 126. Паспорт на памятник природы утвержден постановлением Правительства Нижегородской области от 8 мая 2008 года № 184. Местоположение: от районного центра г. Кулебаки 2 км на юго-запад, от с. Велетьма 3 км на северо-восток. Площадь памятника природы: 708,6 га. Назначение: охрана ценофонда (типичные биоценозы сосновых лесов); научное (ботаническое); ресурсоохранное (сохранение ягодников, ресурсов охотфауны); рекреационное (для жителей г. Кулебаки). Режим охраны: на территории памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 3.1; 5.2; 5.3; 5.5; 6.1; 6.15; 7.2; 8.2; 9.2; 11. На территории памятника природы разрешаются: 2.14; 4.1; 4.6; 6.1. Пользователи, владельцы и собственники земель: Кулебакское районное лесничество (Кулебакское участковое лесничество). На территории памятника природы представлены боры-брусничники, черничники и сфагновые, местами пройденные низовыми пожарами. Эти сосняки поднялись и достигли векового возраста на месте вырубленных хвойно-широколиственных лесов Муромского массива. В этих борах в древостое, наряду с господствующей сосной, в небольшом количестве присутствуют ель, береза и осина. В разновозрастном подросте ель часто преобладает, иногда присутствует дуб. Присутствие ели и дуба свидетельствуют о восстановлении утраченных экосистем хвойно-широколиственного леса. Ценность этого лесного массива не только в сохранении лесных экосистем. Его расположение вблизи города и асфальтированной дороги, заросли черники, брусники, голубики, возможность собирать грибы привлекают сюда жителей района.",Участки сосновых лесов у города Кулебаки,55.3734,42.4764,1664
Дубрава Печинского лесничества, Дубрава Печинского лесничества," Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 14 февраля 1984 года № 56. Паспорт на памятник природы утвержден распоряжением Администрации от 17 октября 1995 года № 1385-р. Местоположение: от г. Лукоянова к юго-западу 24 км, от пос. им. С.Разина на юг 9 км, от с. Печи на запад 1 км. Площадь памятника природы: 41,3 га, площадь охранной зоны 71,4 га. Назначение: охрана ценофонда (представлены типичные биоценозы широколиственных лесов – старовозрастные плакорные дубравы); охрана генофонда (редкие виды растений и животных); научное (ботаническое, зоологическое); почвозащитное (противоэрозионное). Режим охраны: на территории памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 3.1; 5.3; 5.5; 6.1; 6.10; 7.2; 9.1; 10.1; 10.3; 11. На территории памятника природы разрешаются: 2.14; 4.1; 6.1. В охранной зоне памятника природы запрещаются: 1.9; 2.1; 2.6; 5.3; 5.5; 6.5; 6.10; посадка любых культур, кроме дуба; Пользователи, владельцы и собственники земель: Разинское районное лесничество (Печинское участковое лесничество). Кого из нижегородцев можно удивить видом дуба? У большинства людей при упоминании этого дерева возникает мысленная картина: коренастый ствол, могучие сучья, до которых можно дотянуться руками, шарообразная крона. Впервые попав в этот охраняемый лес, каждый будет потрясен увиденным: прямые ровные темно-серые колонны стволов метровой толщины поднимаются на высоту пятиэтажного дома. Только там от ствола отходят первые гигантские ветви, слагающие крону, устремленную ввысь. Высота таких дубов – до 30 метров. Не случайно лесники разделяют дубравы на две формы: дуб высокий и дуб низкий. Как выглядит дуб высокий, отсчитывающий третий век своей жизни, можно увидеть только в Лукояновском районе. Памятник природы у с. Печи включает участки дубрав липово-лещиново-разнотравно-снытевой и липово-лещиново-волосистоосоковой. Здесь можно увидеть трехъярусный древостой. В первом ярусе взметнулись на тридцатиметровую высоту кроны гигантских дубов. Второй ярус образуют вековые липы высотой 20–25 м. Сплошной полог на высоте 15–18 метров создают сорокалетние дубы, клены, вязы и березы третьего яруса. Густые подрост и подлесок образуют еще один полог на высоте около шести метров. Здесь переплелись ветви высоких кустов лещины и молодых лип. Встречаются дуб, клен и кустарники пониже: рябина, бересклет, жимолость. В травостое богато представлена «свита» дуба, преобладают сныть либо осока волосистая. Здесь растут хохлатка Маршалла и зубянка пятилистная, занесенные в Красную книгу Нижегородской области. В дуплах старых деревьев гнездится лесной голубь клинтух (Красная книга Нижегородской области).",Дубрава Печинского лесничества,54.8044,44.2986,1665
Дубрава Мадаевского лесничества, Дубрава Мадаевского лесничества," Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 14 февраля 1984 года № 56. Паспорт на памятник природы утвержден распоряжением Администрации от 17 октября 1995 года № 1385-р. Местоположение: от г. Лукоянова к юго-западу 31 км, от с. Печи на юг 7 км, при д. Покровка. Площадь памятника природы: 73,9 га, площадь охранной зоны 111,1 га. Назначение: охрана ценофонда (представлены типичные биоценозы широколиственных лесов – старовозрастные плакорные дубравы); охрана генофонда (место произрастания редких видов растений); научное (ботаническое); почвозащитное (противоэрозионное). Режим охраны: на территории памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 3.1; 5.3; 5.5; 6.1; 6.10; 7.2; 9.2; 10.1; 10.3; 11. На территории памятника природы разрешаются: 2.14; 4.1; 6.1. В охранной зоне памятника природы запрещаются: 1.9; 2.1; 2.6; 5.3; 5.5; 6.5; 6.10; посадка любых культур, кроме дуба. Пользователи, владельцы и собственники земель: Разинское районное лесничество (Мадаевское участковое лесничество). Памятник природы представляет собой сохранившийся фрагмент водораздельной дубравы липово-лещиново-снытевой. Древостой образован дубом и липой с примесью единичных деревьев клена остролистного. Большинство дубов имеют диаметр ствола до 60–90 см, высоту – до 27 м, возраст – до 200 лет. Встречаются единичные дубы помоложе: высотой около 20 м и диаметром 20 см. Липы имеют высоту около 25 м, диаметр ствола 30–50 см, клены – высоту 20 м и диаметр около 30 см. Разновозрастный подрост образован только липой и кленом, дубы в нем отсутствуют. В подлеске преобладает лещина, встречаются рябина и ива козья. В типичном для дубрав густом травостое преобладает сныть. Здесь встречаются редкие виды растений, занесенные в Красную книгу Нижегородской области – зубянка пятилистная (проективное покрытие 10–20 %), хохлатка Маршалла (плотность произрастания 1–2 экземпляра на 1 кв.м). ",Дубрава Мадаевского лесничества,54.7383,44.3297,1666
Участки дубрав в Кутумском лесничестве к юго-западу от п. Кутум, Участки дубрав в Кутумском лесничестве к юго-западу от п. Кутум," Организован: решением Нижегородского областного Совета народных депутатов от 02 ноября 1993 года № 340-м. Паспорт на памятник природы утвержден тем же решением. Местоположение: от г. Лукоянова к юго-западу 42 км, от пос. Кутум к юго-западу 5 км. Площадь памятника природы: 188,0 га. Назначение: охрана ценофонда (типичные биоценозы широколиственных лесов – старовозрастные плакорные дубравы); охрана генофонда (редкие виды растений и животных); научное (ботаническое, зоологическое); почвозащитное (противоэрозионное). Режим охраны: на территории памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 3.1; 5.3; 5.5; 6.1; 6.10; 7.2; 9.2; 10.1; 10.3; 11. На территории памятника природы разрешаются: 2.14; 4.1; 6.1. В охранной зоне памятника природы запрещаются: 1.9; 2.1; 2.6; 5.3; 5.5; 6.5; 6.10. Пользователи, владельцы и собственники земель: Разинское районное лесничество (Кутумское участковое лесничество). Памятник природы сохраняет два участка высоковозрастных водораздельных дубрав. Здесь представлена мозаика следующих сообществ: дубрава липовая волосистоосоковая, дубрава липовая разнотравная, дубрава чистая волосистоосоковая, дубрава чистая разнотравная. Первый ярус чистых дубрав образует только дуб. В дубравах липовых рядом с двухвековыми дубами стоят липа и клен, иногда – береза и осина. В густом подросте преобладают липа и клен, встречаются единичные дубы, березы и вязы. Подлесок в основном сложен лещиной, встречаются бересклет бородавчатый, жимолость лесная, рябина, черемуха. Травостой образован осокой волосистой, снытью обыкновенной, копытнем европейским, будрой плющевидной, ясменником пахучим, пролесником европейским, сочевичником весенним и другими спутниками дуба. Здесь встречаются зубянка пятилистная и хохлатка Маршалла (Красная книга Нижегородской области). Памятник природы служит местообитанием косули, занесенной в Красную книгу Нижегородской области и бабочки мнемозины, занесенной в Красную книгу России.",Участки дубрав в Кутумском лесничестве к юго-западу от п. Кутум,54.684,44.0886,1667
Участки дубрав и их производных в Мадаевском лесничестве, Участки дубрав и их производных в Мадаевском лесничестве," Организован: решением Нижегородского областного Совета народных депутатов от 02 ноября 1993 года № 340-м. Паспорт на памятник природы утвержден тем же решением. Местоположение: от районного центра г. Лукоянова к югу 32 км, от с. Покровка к юго-востоку 3,5 км, от д. Курлей к югу 1 км, при д. Павловка. Площадь памятника природы: 81,3 га, площадь охранной зоны 465,7 га. Назначение: охрана ценофонда (типичные биоценозы широколиственных лесов); охрана генофонда (место произрастания редкого вида растений); научное (ботаническое); полезащитное. Режим охраны: на территории памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 3.1; 5.3; 5.5; 6.1; 6.10; 7.2; 9.1; 10.1; 10.3; 11. На территории памятника природы разрешаются: 2.14; 4.1; 6.1. В охранной зоне памятника природы запрещаются: 1.9; 2.1; 2.6; 5.3; 5.5; 6.5; 6.10; посадка любых культур, кроме дуба; Пользователи, владельцы и собственники земель: Разинское районное лесничество (Мадаевское участковое лесничество). На территории памятника природы представлены различные сообщества широколиственных дубовых и липовых лесов, а также сформировавшихся на месте вырубок производных мелколиственных лесов. Здесь можно выделить различные ассоциации: дубрава липовая лещиновая разнотравно-снытевая и звездчатково-снытевая, дубрава липово-снытево-волосистоосоковая, липняк лещиновый волосистоосоково-снытевый, липняк осиново-кленово-ясеневый волосистоосоково-снытевый, вторичные березняки и осинники. Эта сложная мозаика сообществ наглядно демонстрирует разнообразие и процессы восстановления широколиственных лесов на старых вырубках. В древостое памятника природы – полутора- и двухвековые дубы высотой до 27 м, вековые липы, клены, березы, осины, кое-где встречается ясень. Более молодые деревья этих же видов слагают второй ярус и подрост. В подлеске преобладает лещина. На увлажненных участках густые заросли образует хмель. В травостое – сныть, осока волосистая, звездчатка жестколистная и другие спутники дуба. Здесь растут зубянка пятилистная и хохлатка Маршалла (Красная книга Нижегородской области).",Участки дубрав и их производных в Мадаевском лесничестве,54.7274,44.3778,1668
Дубрава у деревни Гремячка, Дубрава у деревни Гремячка," Организован: решением Нижегородского областного Совета народных депутатов от 02 ноября 1993 года № 340-м. Паспорт на памятник природы утвержден тем же решением. Местоположение: от районного центра г. Лукоянов 32 км на юго-запад, от пос. им. С. Разина 14 км на юго-запад, от д. Пруды Первомайского района 3 км к северо-востоку, от д. Гремячка Первомайского района 1,5 км на восток. Площадь памятника природы: 70,5 га, площадь охранной зоны 335,5 га. Назначение: охрана ценофонда (типичные биоценозы широколиственных лесов – старовозрастные плакорные дубравы); охрана генофонда (место произрастания редких видов растений); научное (зоологическое, ботаническое); почвозащитное (противоэрозионное). Режим охраны: на территории памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 3.1; 5.3; 5.5; 6.1; 6.10; 7.2; 9.1; 10.1; 10.3; 11. На территории памятника природы разрешаются: 2.14; 4.1; 6.1. В охранной зоне памятника природы запрещаются: 1.9; 2.1; 2.6; 5.5; 6.5. Пользователи, владельцы и собственники земель: Разинское районное лесничество (Печинское участковое лесничество). На территории памятника природы сохраняются участки дубрав липово-кленовых разнотравно-снытевых, кленово-липовых лесов, березняков и осинников. Дубравы представлены в центральной части памятника природы. В них первый ярус древостоя образован дубом, липой, единично березой и осиной. Дуб имеет возраст от 100 до 200 лет, диаметр ствола – до 90 см. Возраст липы 100 лет, диаметр ствола 50 см. Второй ярус слагают липа, клен, дуб, единично береза и вяз. Высота деревьев второго яруса 15–18 м. На периферии памятника природы располагаются вековые кленово-липовые леса. В подросте широколиственных лесов встречаются дуб, липа, клен, вязы гладкий и шершавый. В подлеске преобладает лещина, в травостое – сныть. Памятник природы включает небольшие участки почти столетних березняков и осинников, а также пруд площадью 0,5 га. Здесь растут хохлатка Маршалла и зубянка пятилистная, занесенные в Красную книгу Нижегородской области. Березняки служат местообитанием бабочки ленты орденской голубой (Красная книга Нижегородской области).",Дубрава у деревни Гремячка,54.8843,44.6878,1669
Дубрава по оврагу во 2 квартале Кутумского лесничества, Дубрава по оврагу во 2 квартале Кутумского лесничества," Организован: решением Нижегородского областного Совета народных депутатов от 02 ноября 1993 года № 340-м. Паспорт на памятник природы утвержден тем же решением. Местоположение: от районного центра г. Лукоянов 40 км на юго-запад, от пос. Кутум 7 км на северо-запад. Площадь памятника природы: 70,3 га, площадь охранной зоны 192,7 га. Назначение: охрана ценофонда (типичные биоценозы широколиственных лесов – старовозрастные плакорные дубравы); охрана генофонда (место обитания редкого вида животных и произрастания редких видов растений); научное (ботаническое, зоологическое); почвозащитное (противоэрозионное). Режим охраны: на территории памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 3.1; 5.3; 5.5; 6.1; 6.10; 7.2; 9.1; 10.1; 10.3; 11. На территории памятника природы разрешаются: 2.14; 4.1; 6.1. В охранной зоне памятника природы запрещаются: 1.9; 2.1; 2.6; 5.3; 5.5; 6.5; 6.10. Пользователи, владельцы и собственники земель: Разинское районное лесничество (Кутумское участковое лесничество). На территории памятника природы в зависимости от условий рельефа, увлажнения, освещенности представлены следующие ассоциации: дубрава лещиновая волосистоосоковая, дубрава разнотравная и дубрава снытевая – занимающие небольшие участки и сложным образом переходящие друг в друга. В верхней части и на склонах оврага первый ярус древостоя образован вековыми дубами с примесью осины и березы. Второй ярус сложен липой, кленой, осиной, березой. В подросте присутствуют дуб и клен. В подлеске преобладает лещина, встречаются черемуха, бересклет, жимолость лесная. Травостой составляют осока волосистая, сныть, ветреница лютиковая, хохлатка плотная, будра плющевидная, копытень европейский, медуница неясная и другие спутники дуба. На дне оврага дубы достигают полуторавекового возраста. В древостое присутствует ольха черная, береза, осина. Подлесок образуют ивы и черемуха, увитые хмелем. В травостое – крапива, таволга вязолистная, борец высокий, сныть, купальница европейская, гравилат речной. Высоковозрастные дубравы занимают около половины памятника природы. Остальная территория покрыта молодыми дубравами (в возрасте около 50 лет) и вторичными березняками. Памятник природы служит местом обитания мнемозины – бабочки, занесенной в Красную книгу России. Здесь растут хохлатка Маршалла и зубянка пятилистная, занесенные в Красную книгу Нижегородской области.",Дубрава по оврагу во 2 квартале Кутумского лесничества,54.7444,44.0562,1670
Дубрава в 1 километре к северо-западу от п. Преображенский, Дубрава в 1 километре к северо-западу от п. Преображенский," Организован: постановлением Законодательного собрания Нижегородской области от 29 ноября 1994 года № 126. Паспорт на памятник природы утвержден тем же постановлением. Местоположение: от г. Лукоянов к юго-востоку 18 км, от с. Тольский Майдан к югу 5 км, от пос. Преображенский к северо-западу 1 км. Площадь памятника природы: 20,0 га, площадь охранной зоны 29,0 га. Назначение: охрана ценофонда (типичный биоценоз восстанавливающейся плакорной дубравы); научное (ботаническое, почвоведческое). Режим охраны: на территории памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 3.1; .5.3; 5.7; 5.8; 6.1; 6.2; 6.8; 6.10; 6.12; 7.2; 9.1; 10.1; 10.3; 11. На территории памятника природы разрешаются: 2.14; 6.2; 4.1; 6.1. В охранной зоне памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 5.3; 5.7; 5.8; 6.2; 6.8; 6.10; 7.2; Пользователи, владельцы и собственники земель: Разинское районное лесничество (Лукояновское участковое лесничество). На территории памятника природы представлен липово-дубовый лес разнотравно-снытевый, восстанавливающийся на темно-серых лесных почвах на месте вырубок конца XIX – начала XX века. Возраст деревьев около 100 лет, высота от 22 до 24 метров. В древостое преобладает дуб с диаметром ствола от 35 до 50 см, встречаются вяз, ясень и осина. В подросте представлены липа, клен и ясень. Редкий подлесок образован лещиной обыкновенной, бересклетом бородавчатым, жимолостью лесной, малиной и рябиной. В травостое доминирует сныть, встречаются осока волосистая, сочевичник весенний, медуница неясная, будра плющевидная, копытень европейский и другие дубравные виды.",Дубрава в 1 километре к северо-западу от п. Преображенский,54.8948,44.6686,1671
Участок широколиственного леса и его производных у истоков р. Ежать, Участок широколиственного леса и его производных у истоков р. Ежать," Организован: постановлением Законодательного собрания Нижегородской области от 29 ноября 1994 года № 126. Паспорт на памятник природы утвержден тем же постановлением. Местоположение: от г. Лукоянов к юго-востоку 7 км, от с. Большое Мамлеево к югу 3 км, от д. Волчихав к северу 2 км. Площадь памятника природы: 62,8 га, площадь охранной зоны 153,2 га. Назначение: охрана ценофонда (биоценозы восстанавливающихся плакорных дубрав); научное (ботаническое); водоохранное (для реки Ежать); противоэрозионное. Режим охраны: на территории памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 3.1; .5.3; 5.7; 5.8; 6.1; 6.8; 6.10; 6.12; 7.2; 9.1; 10.1; 10.3; 11. На территории памятника природы разрешаются: 2.14; 6.2; 4.1; 6.1. В охранной зоне памятника природы запрещаются: 1.1-1.3; 1.5-1.10; 2.1; 2.6; 5.3; 5.7; 5.8; 6.2; 6.8; 6.10; 7.2; Пользователи, владельцы и собственники земель: Разинское районное лесничество (Лукояновское участковое лесничество). Памятник природы представляет собой участок сложной конфигурации с мозаичным расположением фрагментов дубовых лесов и их производных. Эти сообщества восстанавливаются на месте вырубленных в конце XIX – начале ХХ веков хвойно-широколиственных лесов с доминированием в древостое дуба и липы. Это сохранившийся высоковозрастный участок в полосе бывших засечных лесов, тянувшихся в левобережье р. Алатырь. Почти две трети площади памятника природы занимают вековые дубравы, на остальной территории – более молодые леса из дуба, осины и березы. Встречаются единичные 70–80-летние сосны. В травостое лесов памятника природы доминируют сныть и осока волосистая.",Участок широколиственного леса и его производных у истоков р. Ежать,54.9576,44.5211,1672
Дубрава в 3 км у югу от с. Покровка, Дубрава в 3 км у югу от с. Покровка," Организован: постановлением Законодательного собрания Нижегородской области от 29 ноября 1994 года № 126. Паспорт на памятник природы утвержден тем же постановлением. Местоположение: от г. Лукоянов к югу 36 км, от с. Печи к югу 9 км, от с. Покровка к югу 3 км, от п. Коммунар Починковского района к северу 6 км. Площадь памятника природы: 35,0 га, площадь охранной зоны 58,0 га. Назначение: охрана ценофонда (типичные биоценозы восстанавливающихся плакорных дубрав); научное (ботаническое). Пользователи, владельцы и собственники земель: Разинское районное лесничество (Печинское участковое лесничество). Памятник природы сохраняет участки дубрав липовых разнотравно-снытевых и снытевых, восстанавливающихся на месте рубок конца XIX – начала XX века. Участок дубравы снытевой в возрасте 120 лет занимает площадь около 10 га. В первом ярусе к дубу добавляется береза. Второй ярус древостоя образует липа высотой до 20 м. В подросте преобладают дуб и липа, встречается клен платановидный. Редкий подлесок образован лещиной и крушиной. В травостое доминирует сныть. На площади около 20 га представлена дубрава кленово-липовая разнотравно-снытевая с почти столетним древостоем. В древостое, кроме дуба, клена и липы, присутствуют береза и осина. Под кронами деревьев на шестиметровой высоте сплошной полог создают переплетающиеся ветви высоких кустов лещины и липового подроста. Около 4 га занимают 50-летние культуры дуба.",Дубрава в 3 км у югу от с. Покровка,54.7157,44.3138,1673
Кленово-липовый лес у д.Санки, Кленово-липовый лес у д.Санки," Организован: решением Нижегородского областного Совета народных депутатов от 02 ноября 1993 года № 340-м. Паспорт на памятник природы утвержден тем же решением. Местоположение: от районного центра г. Лукоянов к юго-западу 26 км, от д. Санки к востоку 1 км. Площадь памятника природы: 35,8 га, площадь охранной зоны 169,2 га. Назначение: охрана ценофонда (типичные биоценозы широколиственных лесов); охрана генофонда (место произрастания редких видов растений); научное (ботаническое); почвозащитное (противоэрозионное). Пользователи, владельцы и собственники земель: Разинское районное лесничество (Печинское участковое лесничество). Памятник природы представляет собой участок широколиственного леса, в котором первый ярус древостоя образуют столетние липы и клены. К ним добавляются единичные старые осины и дубы в возрасте до 180 лет. Второй ярус образуют те же виды деревьев. В подросте преобладают дуб и липа, встречаются клен и осина. Подлесок образован лещиной, жимолостью лесной, бересклетом бородавчатым. Травостой типичен для дубрав; его составляют сныть, пролесник европейский, ясменник пахучий, медуница неясная, хохлатка плотная, осока волосистая, сочевичник весенний и другие виды. Здесь растут хохлатка Маршалла и зубянка пятилистная, занесенные в Красную книгу Нижегородской области.",Кленово-липовый лес у д.Санки,54.8346,44.2364,1674
Панзельский пруд и сосновые леса в его окрестностях, Панзельский пруд и сосновые леса в его окрестностях," Организован: решением Нижегородского областного Совета народных депутатов от 02 ноября 1993 года № 340-м. Паспорт на памятник природы утвержден тем же решением. Местоположение: от районного центра г. Лукоянова на юг 22 км; в окрестностях с. Панзелка. Площадь памятника природы: 74,1 га, площадь охранной зоны 232,5 га. Назначение: охрана ценофонда (старовозрастные сосновые боры); научное (зоологическое, ботаническое); водоохранное (для реки Панзелка); эстетическое. Пользователи, владельцы и собственники земель: Разинское районное лесничество (Панзельское участковое лесничество). Памятник природы дает представление о могучих хвойно-широколиственных лесах, входивших в состав Темниковской засеки. Большую часть территории занимают 180-летние боры, среди которых представлены сосняки сложные, майниково-черничниковые и вейниковые. Громадные сосны диаметром около метра поднимаются на 30-метровую высоту. Рядом с ними растут единичные ели, осины и березы. Второй ярус высотой около 20 м образует липа. В разновозрастном подросте также преобладает липа, встречается ель. Подлесок составляют лещина, черемуха, клен платановидный, рябина, крушина, жимолость лесная, шиповник майский, бересклет бородавчатый. В травяно-кустарничковом ярусе доминируют типичные для дубрав осока волосистая и сныть; встречаются и другие спутники дуба, а вместе с ними растения, сопровождающие ель, – черника, брусника, грушанка круглолистная, ортилия однобокая, майник двулистный, линнея северная. Охраняется также большой пруд (площадью 7,2 га), созданный более века назад на р. Панзелке. До 1956 года на нем существовала мельница. Пруд отличается чистой питьевой водой. В пруду и реке живут бобры. Вдоль Панзелки и на берегах пруда встречаются участки низинного болота с древостоем из черной ольхи и березы, под пологом которых – густые заросли осок, таволги и крапивы. На территории памятника природы обитает бабочка лента орденская голубая, занесенная в Красную книгу Нижегородской области.",Панзельский пруд и сосновые леса в его окрестностях,54.8567,44.3466,1675
Роща Магнитского, Роща Магнитского," Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 14 февраля 1984 года № 56. Паспорт на памятник природы утвержден распоряжением Администрации Нижегородской области от 17 октября 1995 года № 1385-р. Местоположение: от г. Лукоянов к северу 5 км. Площадь памятника природы: 802,0 га Назначение: научно-практическое (образец посадок лесных культур различными способами и в разном сочетании); рекреационное (место отдыха жителей г. Лукоянова). Пользователи, владельцы и собственники земель: Разинское районное лесничество (Лукояновское участковое лесничество). Памятник природы сохраняет рукотворный лесной остров возле г. Лукоянов. Роща заложена на пустыре в 1953–1956 годах под руководством лесничего А.Ф. Магницкого. При этом применены различные способы посадки лесных культур и разные сочетания видов деревьев и кустарников. Насаждения с преобладанием дуба занимают 385 га, с преобладанием березы – 80 га, сосны – 88 га, лиственницы – 67 га. Ель, вяз, тополь, ивы занимают небольшие участки (менее 10 га). На долю лесных полян приходится 169 га. В преобладающих здесь культурах дуба встречаются как чисто дубовые насаждения, так и смешанные с липой, кленом, вязом, ясенем, сосной, елью, березой. Под их пологом растут лещина, бересклет, бузина, рябина, жимолость татарская, клен остролистный, клен американский, карагана древовидная, крыжовник, малина. А.Ф. Магницкий стремился понять, в каком соседстве дуб чувствует себя наилучшим образом. Его исследования продолжают ученые-лесоводы. Роща Магницкого является излюбленным местом отдыха жителей города Лукоянова и Лукояновского района.",Роща Магнитского,55.0666,44.459,1676
